"model","family","spatial","spatiotemporal","form","AIC","logLik","npar","hessian_pd","grad_max","converged_strict","n_warnings","warn_hessian","warn_nan","first_warning","DeltaAIC","coef_est","coef_se"
"Poisson_spOFF_OFF_form.inter.cov","Poisson","off","off","form.inter.cov",30.1365973394734,-0.0682986697366797,15,FALSE,0.00455467624731724,FALSE,1,TRUE,FALSE,"The model may not have converged: non-positive-definite Hessian matrix.",25.9931199810551,-181.685395676353,116781.369090869
"NB2_spOFF_OFF_form.inter.cov","NB2","off","off","form.inter.cov",32.1365973747756,-0.0682986873878231,16,FALSE,0.00623243939119557,FALSE,3,TRUE,TRUE,"NA/NaN function evaluation",27.9931200163574,-178.077892059678,116814.537887574
"Poisson_spOFF_OFF_form.inter.cov.spline","Poisson","off","off","form.inter.cov.spline",34.13658456256,-0.0682922812799829,17,FALSE,0.0222585824358769,FALSE,1,TRUE,FALSE,"The model may not have converged: non-positive-definite Hessian matrix.",29.9931072041418,-330.770077770385,127121.798246116
"Poisson_spOFF_AR1_form.inter.cov","Poisson","off","ar1","form.inter.cov",36.1365972793174,-0.0682986396587069,18,FALSE,0.00487274262565004,FALSE,4,TRUE,TRUE,"NA/NaN function evaluation",31.9931199208992,-182.976160397801,116821.009305444
"NB2_spOFF_AR1_form.inter.cov","NB2","off","ar1","form.inter.cov",38.1365997938347,-0.0682998969173525,19,FALSE,0.0829662342921721,FALSE,2,TRUE,TRUE,"NA/NaN function evaluation",33.9931224354165,-220.16912324616,116541.691102009
"NB2_spOFF_OFF_form","NB2","off","off","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"NB2_spOFF_OFF_form.er.cov","NB2","off","off","form.er.cov",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"NB2_spOFF_OFF_form.er.spline","NB2","off","off","form.er.spline",NA,NA,NA,NA,NA,FALSE,7,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"NB2_spOFF_OFF_form.er.cov.spline","NB2","off","off","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"NB2_spOFF_OFF_form.inter.cov.spline","NB2","off","off","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"NB2_spOFF_AR1_form","NB2","off","ar1","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"NB2_spOFF_AR1_form.er","NB2","off","ar1","form.er",NA,NA,NA,NA,NA,FALSE,15,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"NB2_spOFF_AR1_form.er.cov","NB2","off","ar1","form.er.cov",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"NB2_spOFF_AR1_form.er.spline","NB2","off","ar1","form.er.spline",NA,NA,NA,NA,NA,FALSE,4,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"NB2_spOFF_AR1_form.er.cov.spline","NB2","off","ar1","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"NB2_spOFF_AR1_form.inter.cov.spline","NB2","off","ar1","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"NB2_spON_OFF_form","NB2","on","off","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"NB2_spON_OFF_form.er.cov","NB2","on","off","form.er.cov",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"NB2_spON_OFF_form.inter.cov","NB2","on","off","form.inter.cov",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"NB2_spON_OFF_form.er.spline","NB2","on","off","form.er.spline",NA,NA,NA,NA,NA,FALSE,7,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"NB2_spON_OFF_form.er.cov.spline","NB2","on","off","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"NB2_spON_OFF_form.inter.cov.spline","NB2","on","off","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"NB2_spON_AR1_form","NB2","on","ar1","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"NB2_spON_AR1_form.er.cov","NB2","on","ar1","form.er.cov",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"NB2_spON_AR1_form.inter.cov","NB2","on","ar1","form.inter.cov",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"NB2_spON_AR1_form.er.spline","NB2","on","ar1","form.er.spline",NA,NA,NA,NA,NA,FALSE,5,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"NB2_spON_AR1_form.er.cov.spline","NB2","on","ar1","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"NB2_spON_AR1_form.inter.cov.spline","NB2","on","ar1","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"Poisson_spOFF_OFF_form","Poisson","off","off","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"Poisson_spOFF_OFF_form.er.spline","Poisson","off","off","form.er.spline",NA,NA,NA,NA,NA,FALSE,8,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"Poisson_spOFF_OFF_form.er.cov.spline","Poisson","off","off","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"Poisson_spOFF_AR1_form","Poisson","off","ar1","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"Poisson_spOFF_AR1_form.er","Poisson","off","ar1","form.er",NA,NA,NA,NA,NA,FALSE,18,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"Poisson_spOFF_AR1_form.er.spline","Poisson","off","ar1","form.er.spline",NA,NA,NA,NA,NA,FALSE,5,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"Poisson_spOFF_AR1_form.er.cov.spline","Poisson","off","ar1","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"Poisson_spOFF_AR1_form.inter.cov.spline","Poisson","off","ar1","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,3,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"Poisson_spON_OFF_form","Poisson","on","off","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"Poisson_spON_OFF_form.inter.cov","Poisson","on","off","form.inter.cov",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"Poisson_spON_OFF_form.er.spline","Poisson","on","off","form.er.spline",NA,NA,NA,NA,NA,FALSE,8,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"Poisson_spON_OFF_form.er.cov.spline","Poisson","on","off","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,1,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"Poisson_spON_OFF_form.inter.cov.spline","Poisson","on","off","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"Poisson_spON_AR1_form","Poisson","on","ar1","form",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"Poisson_spON_AR1_form.inter.cov","Poisson","on","ar1","form.inter.cov",NA,NA,NA,NA,NA,FALSE,2,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"Poisson_spON_AR1_form.er.spline","Poisson","on","ar1","form.er.spline",NA,NA,NA,NA,NA,FALSE,7,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
"Poisson_spON_AR1_form.er.cov.spline","Poisson","on","ar1","form.er.cov.spline",NA,NA,NA,NA,NA,FALSE,0,FALSE,FALSE,NA,NA,NA,NA
"Poisson_spON_AR1_form.inter.cov.spline","Poisson","on","ar1","form.inter.cov.spline",NA,NA,NA,NA,NA,FALSE,2,FALSE,TRUE,"NA/NaN function evaluation",NA,NA,NA
